"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 19:56:03 GMT 2024","Wed Jul 17 19:56:03 GMT 2024","319","","Delete Note tests →","","404 Not Found (Delete Note for not existing activity)","","Answer Notes tests → Delete Note tests → 404 Not Found (Delete Note for not existing activity)",""
"passed","Wed Jul 17 20:12:42 GMT 2024","Wed Jul 17 20:12:42 GMT 2024","288","","Get workspace applet respondent by id →","","200 OK (invited respondent)","","Workspaces endpoints tests → Workspaces created → Get workspace applet respondent by id → 200 OK (invited respondent)",""
"passed","Wed Jul 17 20:01:33 GMT 2024","Wed Jul 17 20:01:33 GMT 2024","247","","Delete all general scheduled Applet Events tests →","","404 Not Found (Delete all general scheduled Events of not existing Applet)","","Applet Events CRUD tests → Delete all general scheduled Applet Events tests → 404 Not Found (Delete all general scheduled Events of not existing Applet)",""
"passed","Wed Jul 17 20:02:52 GMT 2024","Wed Jul 17 20:02:52 GMT 2024","350","","Applets ""report configuration"" endpoint tests →","","404 Not Found (invalid applet id)","","Applets ""report configuration"" endpoint tests → 404 Not Found (invalid applet id)",""
"passed","Wed Jul 17 20:01:27 GMT 2024","Wed Jul 17 20:01:27 GMT 2024","48","","Get general and individual Applet Events →","","401 Unauthorized (Get Applet Events with invalid appletOwnerToken)","","Applet Events CRUD tests → Get general and individual Applet Events → 401 Unauthorized (Get Applet Events with invalid appletOwnerToken)",""
"passed","Wed Jul 17 20:03:50 GMT 2024","Wed Jul 17 20:03:50 GMT 2024","347","","Get applet version changes →","","404 (incorrect appletId)","","Applet versions endpoints tests → Get applet version changes → 404 (incorrect appletId)",""
"passed","Wed Jul 17 20:02:12 GMT 2024","Wed Jul 17 20:02:15 GMT 2024","3933","","Applet Events scenario tests →","","End-To-End scenario (General scheduled flow Event)","","Applet Events scenario tests → End-To-End scenario (General scheduled flow Event)",""
"passed","Wed Jul 17 19:58:41 GMT 2024","Wed Jul 17 19:58:41 GMT 2024","288","","Get flow Identifiers tests →","","200: Empty list (not existing activityFlowId)","","Flow Versions & Identifiers tests → Get flow Identifiers tests → 200: Empty list (not existing activityFlowId)",""
"passed","Wed Jul 17 19:59:25 GMT 2024","Wed Jul 17 19:59:25 GMT 2024","48","","Get Review activity flow tests →","","401 Unauthorized (Get Review activity flow list with not existing token)","","Summary & Review activity flow tests → Get Review activity flow tests → 401 Unauthorized (Get Review activity flow list with not existing token)",""
"passed","Wed Jul 17 20:06:36 GMT 2024","Wed Jul 17 20:06:36 GMT 2024","289","","Re-send invitation flow →","","Invited user can retrieve new invitation","","Invitations scenario tests → Re-send invitation flow → Invited user can retrieve new invitation",""
"passed","Wed Jul 17 20:09:03 GMT 2024","Wed Jul 17 20:09:03 GMT 2024","306","","Set schedule for respondents tests →","","403 Forbidden (Reviewer can NOT schedule Event)","","Administration tests → Respondents tests → Set schedule for respondents tests → 403 Forbidden (Reviewer can NOT schedule Event)",""
"passed","Wed Jul 17 19:59:31 GMT 2024","Wed Jul 17 19:59:31 GMT 2024","48","","Share applet to the library","","401 Unauthorized","","Applet Library tests → Share applet to the library 401 Unauthorized",""
"passed","Wed Jul 17 20:07:07 GMT 2024","Wed Jul 17 20:07:07 GMT 2024","192","","Invitation Reviewer Send →","","422 - Incorrect ""language"" value","","Invitations endpoints tests → Send invitation → Invitation Reviewer Send → 422 - Incorrect ""language"" value",""
"passed","Wed Jul 17 20:07:15 GMT 2024","Wed Jul 17 20:07:15 GMT 2024","252","","Create shell account →","","200 OK: shell account with tag","","Invitations endpoints tests → Create shell account → 200 OK: shell account with tag",""
"passed","Wed Jul 17 20:12:21 GMT 2024","Wed Jul 17 20:12:21 GMT 2024","309","","Get workspace Applets →","","Second applet owner gets own applets","","Workspaces endpoints tests → Workspaces created → Get workspace Applets → Second applet owner gets own applets",""
"passed","Wed Jul 17 20:09:01 GMT 2024","Wed Jul 17 20:09:01 GMT 2024","369","","Invite new reviewer for a specific respondent tests →","","403 Forbidden (Reviewer can NOT invite new reviewer for a specific respondent)","","Administration tests → Respondents tests → Invite new reviewer for a specific respondent tests → 403 Forbidden (Reviewer can NOT invite new reviewer for a specific respondent)",""
"passed","Wed Jul 17 19:59:58 GMT 2024","Wed Jul 17 19:59:58 GMT 2024","202","","Update applet →","","400 Bad request: activity key is invalid","","Applets CRUD endpoints tests → Update applet → 400 Bad request: activity key is invalid",""
"passed","Wed Jul 17 20:04:11 GMT 2024","Wed Jul 17 20:04:11 GMT 2024","57","","Refresh Token →","","400 Bad Request (non-existent token)","","""Authentication"" endpoints tests → Refresh Token → 400 Bad Request (non-existent token)",""
"passed","Wed Jul 17 20:07:15 GMT 2024","Wed Jul 17 20:07:15 GMT 2024","283","","Create shell account →","","200 OK: shell account with email","","Invitations endpoints tests → Create shell account → 200 OK: shell account with email",""
"failed","Wed Jul 17 20:02:48 GMT 2024","Wed Jul 17 20:02:48 GMT 2024","223","","Get public activities by key →","","200 OK","","Applet public access tests → Get public activities by key → 200 OK",""
"passed","Wed Jul 17 19:56:36 GMT 2024","Wed Jul 17 19:56:36 GMT 2024","253","","Get dates before Answer submit →","","403 Forbidden (Get submit dates by respondent)","","Get submit dates & exported Answers data tests → Get dates before Answer submit → 403 Forbidden (Get submit dates by respondent)",""
"passed","Wed Jul 17 20:07:24 GMT 2024","Wed Jul 17 20:07:25 GMT 2024","1802","","Accept Public invitation tests →","","200 OK (any other user can also accept public link invitation)","","Applet public links tests → Accept Public invitation tests → 200 OK (any other user can also accept public link invitation)",""
"passed","Wed Jul 17 20:07:19 GMT 2024","Wed Jul 17 20:07:19 GMT 2024","400","","Invite Shell account →","","200 OK","","Invitations endpoints tests → Invite Shell account → 200 OK",""
"passed","Wed Jul 17 20:07:10 GMT 2024","Wed Jul 17 20:07:10 GMT 2024","183","","422 Missing attributes","","Missing firstName","","Invitations endpoints tests → Send invitation → Invitation Reviewer Send → 422 Missing attributes Missing firstName",""
"passed","Wed Jul 17 20:06:18 GMT 2024","Wed Jul 17 20:06:18 GMT 2024","292","","Upload media files directly to storage (S3 bucket)","","Generate presigned media url","","Files upload/download directly to S3 bucket tests → Upload media files directly to storage (S3 bucket) Generate presigned media url",""
