"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Flow Versions & Identifiers tests → Get flow Versions tests → Flow has been updated → 200 OK (Get flow versions after adding new activity in flow)","","Wed Jul 02 14:17:57 GMT 2025","passed","Wed Jul 02 14:17:57 GMT 2025","","Flow has been updated →","200 OK (Get flow versions after adding new activity in flow)",""
"","73","Access link tests → Create Access link tests → 401 Unauthorized (Create Access link with invalid token)","","Wed Jul 02 14:19:09 GMT 2025","passed","Wed Jul 02 14:19:09 GMT 2025","","Create Access link tests →","401 Unauthorized (Create Access link with invalid token)",""
"","420","Administration tests → Perform activities tests → 200 OK (Manager can submit answers)","","Wed Jul 02 14:28:53 GMT 2025","passed","Wed Jul 02 14:28:53 GMT 2025","","Perform activities tests →","200 OK (Manager can submit answers)",""
"","305","Get submit dates & exported Answers data tests → Get dates before Answer submit → 403 Forbidden (Get submit dates by respondent)","","Wed Jul 02 14:15:32 GMT 2025","passed","Wed Jul 02 14:15:32 GMT 2025","","Get dates before Answer submit →","403 Forbidden (Get submit dates by respondent)",""
"","200","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Update Event with missing timer param (timer type: IDLE)","","Wed Jul 02 14:21:28 GMT 2025","passed","Wed Jul 02 14:21:28 GMT 2025","","422 Unprocessable Entity →","Update Event with missing timer param (timer type: IDLE)",""
"","321","Administration tests → Applets tests → Export & view data in workspace of Applet owner tests → Export data tests → 200 OK (Editor can export his own data)","","Wed Jul 02 14:28:49 GMT 2025","passed","Wed Jul 02 14:28:49 GMT 2025","","Export data tests →","200 OK (Editor can export his own data)",""
"","300","Invitations endpoints tests → Create shell account → 200 OK: shell account with email","","Wed Jul 02 14:26:39 GMT 2025","passed","Wed Jul 02 14:26:39 GMT 2025","","Create shell account →","200 OK: shell account with email",""
"","301","""Subjects"" endpoints CRUD tests → Get subjects 200 OK: manager","","Wed Jul 02 14:29:25 GMT 2025","passed","Wed Jul 02 14:29:25 GMT 2025","","Get subjects","200 OK: manager",""
"","77","Applet Library tests → Applet is added to the library → Update Library item → 401 Unauthorized","","Wed Jul 02 14:19:02 GMT 2025","passed","Wed Jul 02 14:19:02 GMT 2025","","Update Library item →","401 Unauthorized",""
"","291","Shell account invitation scenario tests → Accept invitation by unregistered user → New user can see the applet","","Wed Jul 02 14:27:15 GMT 2025","failed","Wed Jul 02 14:27:15 GMT 2025","","Accept invitation by unregistered user →","New user can see the applet",""
"","310","Get applet completed activities tests → Respondent completes the 1st activity within default always available event → Respondent completes the 2nd activity within oneTimeCompletion Event → Respondent completes activities within the activity flow → 200 OK : activity flow completion should be present","","Wed Jul 02 14:15:11 GMT 2025","passed","Wed Jul 02 14:15:11 GMT 2025","","Respondent completes activities within the activity flow →","200 OK : activity flow completion should be present",""
"","444","Administration tests → Respondents tests → Invite new respondent tests → 200 OK (Coordinator can invite new respondent)","","Wed Jul 02 14:28:27 GMT 2025","passed","Wed Jul 02 14:28:27 GMT 2025","","Invite new respondent tests →","200 OK (Coordinator can invite new respondent)",""
"","288","Administration tests → Respondents tests → Invite new respondent tests → 403 Forbidden (Respondent can NOT invite new respondent)","","Wed Jul 02 14:28:27 GMT 2025","passed","Wed Jul 02 14:28:27 GMT 2025","","Invite new respondent tests →","403 Forbidden (Respondent can NOT invite new respondent)",""
"","406","Workspaces endpoints tests → Workspaces created → Get workspace applet respondents → First workspace applet respondents","","Wed Jul 02 14:32:16 GMT 2025","failed","Wed Jul 02 14:32:16 GMT 2025","","Get workspace applet respondents →","First workspace applet respondents",""
"","7606","Answers scenario tests → New Applet owner should be able to see Answers of respondent after transferring ownership to another user","","Wed Jul 02 14:16:27 GMT 2025","passed","Wed Jul 02 14:16:34 GMT 2025","","Answers scenario tests →","New Applet owner should be able to see Answers of respondent after transferring ownership to another user",""
"","597","Access link tests → Delete Access link tests → 404 (Delete already deleted Access link)","","Wed Jul 02 14:19:12 GMT 2025","passed","Wed Jul 02 14:19:12 GMT 2025","","Delete Access link tests →","404 (Delete already deleted Access link)",""
"","685","Activity Assignments tests → Positive tests → Assign activity to full account with target limited account","","Wed Jul 02 14:14:37 GMT 2025","passed","Wed Jul 02 14:14:37 GMT 2025","","Positive tests →","Assign activity to full account with target limited account",""
"","74","Workspaces endpoints tests → Workspaces created → Get workspace applet respondents → Negative tests → 401 Unauthorized","","Wed Jul 02 14:32:17 GMT 2025","passed","Wed Jul 02 14:32:17 GMT 2025","","Negative tests →","401 Unauthorized",""
"","258","Summary & Review activities tests → Get Summary and Review Activities (non-empty list) tests → Get Summary Activities list tests → 404 Not Found (Get Summary Activities list of not existing Applet)","","Wed Jul 02 14:18:40 GMT 2025","passed","Wed Jul 02 14:18:40 GMT 2025","","Get Summary Activities list tests →","404 Not Found (Get Summary Activities list of not existing Applet)",""
"","185","Applets ""unique_name"" endpoint tests → 422 invalid attribute (excludingAppletId)","","Wed Jul 02 14:23:52 GMT 2025","passed","Wed Jul 02 14:23:52 GMT 2025","","Applets ""unique_name"" endpoint tests →","422 invalid attribute (excludingAppletId)",""
"","2098","Update Password tests → 401 Unauthorized (User login with previous password)","","Wed Jul 02 14:30:07 GMT 2025","passed","Wed Jul 02 14:30:09 GMT 2025","","Update Password tests →","401 Unauthorized (User login with previous password)",""
"","167","Files upload/download tests → Upload/Download answers (applet files) → Download Answer → 401 Unauthorized","","Wed Jul 02 14:24:53 GMT 2025","passed","Wed Jul 02 14:24:53 GMT 2025","","Download Answer →","401 Unauthorized",""
"","301","Workspaces endpoints tests → Workspaces created → Get workspace Applets → Test for filters (query params) → Ordering","","Wed Jul 02 14:32:09 GMT 2025","passed","Wed Jul 02 14:32:09 GMT 2025","","Test for filters (query params) →","Ordering",""
"","800","Applet builder tests → Create applet → Positive tests → Applet multiple flows with maximum parameters","","Wed Jul 02 14:19:42 GMT 2025","passed","Wed Jul 02 14:19:42 GMT 2025","","Positive tests →","Applet multiple flows with maximum parameters",""
"","367","Workspaces endpoints tests → Workspaces created → Get workspace applet details → 200 OK","","Wed Jul 02 14:32:13 GMT 2025","passed","Wed Jul 02 14:32:13 GMT 2025","","Get workspace applet details →","200 OK",""
"","73","Applet Events CRUD tests → Delete all general scheduled Applet Events tests → 401 Unauthorized (Delete all general scheduled Events with not existing appletOwnerToken)","","Wed Jul 02 14:21:12 GMT 2025","passed","Wed Jul 02 14:21:12 GMT 2025","","Delete all general scheduled Applet Events tests →","401 Unauthorized (Delete all general scheduled Events with not existing appletOwnerToken)",""
"","319","Applet Events CRUD tests → Update Applet Event tests → 404 Not Found (Update general scheduled activity Event with not existing id)","","Wed Jul 02 14:21:25 GMT 2025","passed","Wed Jul 02 14:21:25 GMT 2025","","Update Applet Event tests →","404 Not Found (Update general scheduled activity Event with not existing id)",""
"","444","Applet Events CRUD tests → Create cross-day events tests → 201 Created (Cross-day Event with WEEKDAYS periodicity type and availability range: 23:59:00-23:58:00)","","Wed Jul 02 14:21:43 GMT 2025","passed","Wed Jul 02 14:21:43 GMT 2025","","Create cross-day events tests →","201 Created (Cross-day Event with WEEKDAYS periodicity type and availability range: 23:59:00-23:58:00)",""
"","288","Workspaces endpoints tests → Workspaces created → Get workspace Folder Applets → 404 Not Found (not existing workspace)","","Wed Jul 02 14:32:11 GMT 2025","passed","Wed Jul 02 14:32:11 GMT 2025","","Get workspace Folder Applets →","404 Not Found (not existing workspace)",""
"","401","Applet ""Transfer Ownership"" scenario tests → Transfer Decline → First receiver declines transfer request","","Wed Jul 02 14:23:07 GMT 2025","passed","Wed Jul 02 14:23:07 GMT 2025","","Transfer Decline →","First receiver declines transfer request",""
"","284","Activity Assessment & Review CRUD tests → Submit Assessment tests → 422 Unprocessable Entity → Create Assessment with missing assessmentVersionId param","","Wed Jul 02 14:17:48 GMT 2025","passed","Wed Jul 02 14:17:48 GMT 2025","","422 Unprocessable Entity →","Create Assessment with missing assessmentVersionId param",""
"","76","Applet Events CRUD tests → Delete individual scheduled Applet Events negative tests → 401 Unauthorized (Delete scheduled Events of a particular user with not existing appletOwnerToken)","","Wed Jul 02 14:21:36 GMT 2025","passed","Wed Jul 02 14:21:36 GMT 2025","","Delete individual scheduled Applet Events negative tests →","401 Unauthorized (Delete scheduled Events of a particular user with not existing appletOwnerToken)",""
"","72","Create User tests → 422 Unprocessable Entity Create user with empty lastName param","","Wed Jul 02 14:29:40 GMT 2025","passed","Wed Jul 02 14:29:40 GMT 2025","","422 Unprocessable Entity","Create user with empty lastName param",""
"","366","Get Assessment & Review of updated activity tests → Switch to a new assessment version Get Assessment info after switching to a new assessment version","","Wed Jul 02 14:17:33 GMT 2025","failed","Wed Jul 02 14:17:33 GMT 2025","","Switch to a new assessment version","Get Assessment info after switching to a new assessment version",""
"","2619","Create Answers for different item types tests → Touch performance task","","Wed Jul 02 14:15:39 GMT 2025","passed","Wed Jul 02 14:15:41 GMT 2025","","Create Answers for different item types tests →","Touch performance task",""
"","436","Get User tests → 404 Not found (Get deleted user)","","Wed Jul 02 14:29:50 GMT 2025","passed","Wed Jul 02 14:29:50 GMT 2025","","Get User tests →","404 Not found (Get deleted user)",""
"","354","Answer Notes tests → Create Notes tests → 201 Create Note","","Wed Jul 02 14:14:51 GMT 2025","passed","Wed Jul 02 14:14:51 GMT 2025","","Create Notes tests →","201 Create Note",""
"","285","Summary & Review activity flow tests → Get Summary activity flow tests → 404 Not Found (Get Summary activity flow of not existing Applet)","","Wed Jul 02 14:18:50 GMT 2025","passed","Wed Jul 02 14:18:50 GMT 2025","","Get Summary activity flow tests →","404 Not Found (Get Summary activity flow of not existing Applet)",""
"","303","Answer Notes tests → Create Notes tests → 404 Not Found (Create Note in not existing Applet)","","Wed Jul 02 14:14:51 GMT 2025","passed","Wed Jul 02 14:14:51 GMT 2025","","Create Notes tests →","404 Not Found (Create Note in not existing Applet)",""
"","6543","Applet ""Transfer Ownership"" scenario tests → Transfer Decline → Send transfer request to two different users","","Wed Jul 02 14:23:07 GMT 2025","passed","Wed Jul 02 14:23:13 GMT 2025","","Transfer Decline →","Send transfer request to two different users",""
"","583","Workspaces endpoints tests → Empty workspaces → Get user workspaces → 200 OK (own workspace created by default)","","Wed Jul 02 14:31:48 GMT 2025","passed","Wed Jul 02 14:31:48 GMT 2025","","Get user workspaces →","200 OK (own workspace created by default)",""
"","281","Invitations endpoints tests → Decline invitation → 404 - non-existent invitation key","","Wed Jul 02 14:26:20 GMT 2025","passed","Wed Jul 02 14:26:20 GMT 2025","","Decline invitation →","404 - non-existent invitation key",""
"","274","Invitations endpoints tests → Get invitations → Invitation created → Get invitation by key → 200 OK","","Wed Jul 02 14:26:17 GMT 2025","passed","Wed Jul 02 14:26:17 GMT 2025","","Get invitation by key →","200 OK",""
"","273","Update User tests → 200 Update User","","Wed Jul 02 14:30:20 GMT 2025","passed","Wed Jul 02 14:30:20 GMT 2025","","Update User tests →","200 Update User",""
"","862","Applet builder tests → Create applet → Positive tests → Performance task activity: Flanker","","Wed Jul 02 14:19:42 GMT 2025","passed","Wed Jul 02 14:19:42 GMT 2025","","Positive tests →","Performance task activity: Flanker",""
"","655","Activity Assessment & Review CRUD tests → Submit Assessment tests → 201 Submit Assessment","","Wed Jul 02 14:17:46 GMT 2025","failed","Wed Jul 02 14:17:46 GMT 2025","","Submit Assessment tests →","201 Submit Assessment",""
"","324","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Update Activity Flow → Get applet version changes","","Wed Jul 02 14:24:25 GMT 2025","passed","Wed Jul 02 14:24:25 GMT 2025","","Update Activity Flow →","Get applet version changes",""
"","413","Files upload/download tests → Upload/Download answers (applet files) → Check answer (file) uploaded → 200 OK (uploaded = false)","","Wed Jul 02 14:24:58 GMT 2025","passed","Wed Jul 02 14:24:58 GMT 2025","","Check answer (file) uploaded →","200 OK (uploaded = false)",""
"","629","Applet ""Transfer Ownership"" endpoints tests → Transfer Accept → 200 OK","","Wed Jul 02 14:23:34 GMT 2025","passed","Wed Jul 02 14:23:34 GMT 2025","","Transfer Accept →","200 OK",""
"","156","Applet public access tests → Create anonymous answer 422 Unprocessable entity (missing answer)","","Wed Jul 02 14:22:26 GMT 2025","passed","Wed Jul 02 14:22:26 GMT 2025","","Create anonymous answer","422 Unprocessable entity (missing answer)",""
"","262","Activity Assessment & Review CRUD tests → Submit Assessment tests → 422 Unprocessable Entity → Create Assessment with missing itemIds param","","Wed Jul 02 14:17:48 GMT 2025","passed","Wed Jul 02 14:17:48 GMT 2025","","422 Unprocessable Entity →","Create Assessment with missing itemIds param",""
"","267","Administration tests → Respondents tests → Set schedule for respondents tests → 403 Forbidden (Editor can NOT schedule Event)","","Wed Jul 02 14:28:33 GMT 2025","passed","Wed Jul 02 14:28:33 GMT 2025","","Set schedule for respondents tests →","403 Forbidden (Editor can NOT schedule Event)",""
"","290","Answer Notes tests → Delete Note tests → 404 Not Found (Delete Note for not existing activity)","","Wed Jul 02 14:14:56 GMT 2025","passed","Wed Jul 02 14:14:56 GMT 2025","","Delete Note tests →","404 Not Found (Delete Note for not existing activity)",""
"","290","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Create Answer tests → 422 Unprocessable Entity → Create Answer with missing srartTime param","","Wed Jul 02 14:17:07 GMT 2025","passed","Wed Jul 02 14:17:07 GMT 2025","","422 Unprocessable Entity →","Create Answer with missing srartTime param",""
"","265","Invitations scenario tests → Accept invitation positive flow → Invited user can't see invitation anymore","","Wed Jul 02 14:25:44 GMT 2025","passed","Wed Jul 02 14:25:44 GMT 2025","","Accept invitation positive flow →","Invited user can't see invitation anymore",""
"","677","Applet builder tests → Create applet → Positive tests → Single activity with 5 web-app available item types (Text, Slider, SingleSelect, MultiSelect, NumberSelection)","","Wed Jul 02 14:19:42 GMT 2025","passed","Wed Jul 02 14:19:42 GMT 2025","","Positive tests →","Single activity with 5 web-app available item types (Text, Slider, SingleSelect, MultiSelect, NumberSelection)",""
"","288","Workspaces endpoints tests → Workspaces created → Get workspace applet respondent by id → 200 OK (manager)","","Wed Jul 02 14:32:28 GMT 2025","passed","Wed Jul 02 14:32:28 GMT 2025","","Get workspace applet respondent by id →","200 OK (manager)",""
"","389","Duplicate Applet endpoint tests → 400 not unique applet name","","Wed Jul 02 14:20:35 GMT 2025","passed","Wed Jul 02 14:20:35 GMT 2025","","Duplicate Applet endpoint tests →","400 not unique applet name",""
"","431","Activity Versions & Identifiers tests → Get Identifiers tests → 200 OK (empty list of identifiers)","","Wed Jul 02 14:18:17 GMT 2025","passed","Wed Jul 02 14:18:17 GMT 2025","","Get Identifiers tests →","200 OK (empty list of identifiers)",""
"","374","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Get applet version changes","","Wed Jul 02 14:24:09 GMT 2025","passed","Wed Jul 02 14:24:09 GMT 2025","","Add Activity Flow →","Get applet version changes",""
"","247","Invitations endpoints tests → Send invitation → Invitation Reviewer Send → 404 - Applet does not exist","","Wed Jul 02 14:26:27 GMT 2025","passed","Wed Jul 02 14:26:27 GMT 2025","","Invitation Reviewer Send →","404 - Applet does not exist",""
"","261","Workspace folder for different users tests → Manager is invited to the applet → Manager creates own folder in the same workspace Get folders (applet owner)","","Wed Jul 02 14:31:01 GMT 2025","passed","Wed Jul 02 14:31:01 GMT 2025","","Manager creates own folder in the same workspace","Get folders (applet owner)",""
"","278","Applet Events CRUD tests → Delete scheduled Applet Event by Id tests → 404 Not Found (Delete individual scheduled activity Event of not existing Applet)","","Wed Jul 02 14:21:20 GMT 2025","passed","Wed Jul 02 14:21:20 GMT 2025","","Delete scheduled Applet Event by Id tests →","404 Not Found (Delete individual scheduled activity Event of not existing Applet)",""
"","337","Answer Notes tests → Get Notes list tests → 200 OK (Get empty Notes list)","","Wed Jul 02 14:14:49 GMT 2025","passed","Wed Jul 02 14:14:49 GMT 2025","","Get Notes list tests →","200 OK (Get empty Notes list)",""
"","352","Get submit dates & exported Answers data tests → Get exported data & dates after answer submit → 200 OK (Get exported data by respondent - should see only his own data)","","Wed Jul 02 14:15:33 GMT 2025","failed","Wed Jul 02 14:15:33 GMT 2025","","Get exported data & dates after answer submit →","200 OK (Get exported data by respondent - should see only his own data)",""
"","245","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Update Event with missing startTime (periodicity type: WEEKLY) param","","Wed Jul 02 14:21:28 GMT 2025","passed","Wed Jul 02 14:21:28 GMT 2025","","422 Unprocessable Entity →","Update Event with missing startTime (periodicity type: WEEKLY) param",""
"","77","Workspaces endpoints tests → Workspaces created → Get workspace applet details → 401 Unauthorized","","Wed Jul 02 14:32:13 GMT 2025","passed","Wed Jul 02 14:32:13 GMT 2025","","Get workspace applet details →","401 Unauthorized",""
"","294","Workspaces endpoints tests → Workspaces created → Get managers priority role → 404 Not Found (Invalid ownerId)","","Wed Jul 02 14:32:22 GMT 2025","passed","Wed Jul 02 14:32:22 GMT 2025","","Get managers priority role →","404 Not Found (Invalid ownerId)",""
"","359","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Get flow submissions list & Flow answers of respondent tests → 200 OK (Get flow submission of respondent)","","Wed Jul 02 14:17:18 GMT 2025","passed","Wed Jul 02 14:17:18 GMT 2025","","Get flow submissions list & Flow answers of respondent tests →","200 OK (Get flow submission of respondent)",""
"","273","Get applet completed activities tests → Respondent completes the 1st activity within default always available event → 200 OK : first activity completion should be present","","Wed Jul 02 14:15:07 GMT 2025","passed","Wed Jul 02 14:15:07 GMT 2025","","Respondent completes the 1st activity within default always available event →","200 OK : first activity completion should be present",""
"","447","Invitations endpoints tests → Send invitation → Invitation Respondent Send → 200 OK (send to existing user)","","Wed Jul 02 14:26:23 GMT 2025","passed","Wed Jul 02 14:26:23 GMT 2025","","Invitation Respondent Send →","200 OK (send to existing user)",""
"","286","Applets CRUD endpoints tests → Get applets list → Test for filters (query params) → Roles","","Wed Jul 02 14:19:21 GMT 2025","passed","Wed Jul 02 14:19:21 GMT 2025","","Test for filters (query params) →","Roles",""
"","2594","Administration tests → Applets tests → Update Applet in workspace of Applet owner tests → 200 OK (Editor can update Applet)","","Wed Jul 02 14:28:37 GMT 2025","passed","Wed Jul 02 14:28:39 GMT 2025","","Update Applet in workspace of Applet owner tests →","200 OK (Editor can update Applet)",""
