"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 11 23:23:51 GMT 2024","Sun Aug 11 23:23:51 GMT 2024","5","src.apps.users.tests.unit","test_user_service","","","","test_create_anonymous_respondent__created_only_once",""
"passed","Sun Aug 11 23:23:04 GMT 2024","Sun Aug 11 23:23:04 GMT 2024","16","src.apps.authentication.tests.unit","test_auth_service","TestTokenService","","","test_token_revoke[access_token_internal-access]",""
"passed","Sun Aug 11 23:21:59 GMT 2024","Sun Aug 11 23:21:59 GMT 2024","46","src.apps.answers.tests","test_answers","TestAnswerActivityItems","","","test_answer_activity_with_input_subject",""
"passed","Sun Aug 11 23:22:53 GMT 2024","Sun Aug 11 23:22:53 GMT 2024","13","src.apps.applets.tests","test_applet_link","TestLink","","","test_wrong_applet_access_link_get",""
"passed","Sun Aug 11 23:22:04 GMT 2024","Sun Aug 11 23:22:04 GMT 2024","28","src.apps.answers.tests","test_answers","TestAnswerActivityItems","","","test_applet_assessment_retrieve",""
"passed","Sun Aug 11 23:22:18 GMT 2024","Sun Aug 11 23:22:18 GMT 2024","19","src.apps.answers.tests","test_answers","TestAnswerActivityItems","","","test_access_to_activity_list[editor-HTTPStatus.FORBIDDEN]",""
"passed","Sun Aug 11 23:22:57 GMT 2024","Sun Aug 11 23:22:57 GMT 2024","0","src.apps.applets.tests.unit","test_filter_schedule_events","TestEventsPeriodicityWeekdays","","","test_filter_events__cross_day[date0-0]",""
"passed","Sun Aug 11 23:23:33 GMT 2024","Sun Aug 11 23:23:33 GMT 2024","1","src.apps.schedule.tests.unit.domain","test_schedule_request_data","","","","test_peridocity_selected_date_is_required[ONCE]",""
"passed","Sun Aug 11 23:23:25 GMT 2024","Sun Aug 11 23:23:25 GMT 2024","18","src.apps.schedule.tests","test_schedule","TestSchedule","","","test_schedule_get_all_for_respondent[user-0]",""
"passed","Sun Aug 11 23:23:52 GMT 2024","Sun Aug 11 23:23:52 GMT 2024","34","src.apps.workspaces.tests","test_workspaces","TestWorkspaces","","","test_workspace_applets_list",""
"passed","Sun Aug 11 23:23:33 GMT 2024","Sun Aug 11 23:23:33 GMT 2024","1","src.apps.schedule.tests.unit.domain","test_schedule_request_data","","","","test_event_request_with_reminder_notification__at_time_not_in_between_start_time_and_end_time[event_weekly_data-out_of_range_time4]",""
"passed","Sun Aug 11 23:21:57 GMT 2024","Sun Aug 11 23:21:57 GMT 2024","1","src.apps.activities.tests.unit","test_activity_item_change","","","","test_field_changed[order-2-Item Order was changed to 2]",""
"passed","Sun Aug 11 23:23:18 GMT 2024","Sun Aug 11 23:23:18 GMT 2024","2","src.apps.job.tests","test_jobs_crud","","","","test_get_job_by_name__job_does_not_exist_with_creator_id",""
